	404	not found					2		1		URL is empty	00:00.000	
http://wrc-rca.orghttp//wrc-rca.org/wp-content/uploads/bautista-pic4.jpg	404	not found			"<img class=""alignleft"" src=""http://wrc-rca.orghttp://wrc-rca.org/wp-content/uploads/bautista-pic4.jpg"" alt="""" width=""1056"" height=""816"" />"		2		1		//' is always an error when checking remote URLs	00:00.000	utf-8
http://wrc-rca.org/images/Lloyd/lloyd.jpg	404	not found			"<img class=""alignnone"" src=""/images/Lloyd/lloyd.jpg"" alt="""" width=""1056"" height=""816"" />"		2		1	Apache/2.2.15 (CentOS)		00:04.742	utf-8
http://wrc-rca.org/Acquisitions/Anheuser%20Busch/Phase5/AB5.jpg	404	not found			"<img class=""aligncenter"" src=""/Acquisitions/Anheuser Busch/Phase5/AB5.jpg"" alt="""" width=""1056"" height=""816"" />"		2		1	Apache/2.2.15 (CentOS)		00:04.711	utf-8
http://6de85afa9cdd9250af26-3b22a263ed002c8175a7ed4a05021155.r33.cf1.rackcdn.com/annualReport_2011/AppendixA/RCA_2011_AR_TR_Monitor_Aguanga_Krat.pdf	404	not found			Aguanga Kangaroo Rat Survey Report 2011		2		1			00:01.622	utf-8
http://6de85afa9cdd9250af26-3b22a263ed002c8175a7ed4a05021155.r33.cf1.rackcdn.com/monitoring/Burrowing_Owl_RCA_Board_12052005.pdf	404	not found			Burrowing Owl Presentation, October 2005		2		1			00:00.125	utf-8
http://6de85afa9cdd9250af26-3b22a263ed002c8175a7ed4a05021155.r33.cf1.rackcdn.com/monitoring/Burrowing_Owl_Survey_Instructions.pdf	404	not found			Burrowing Owl Survey Instructions		2		1			00:00.343	utf-8
http://6de85afa9cdd9250af26-3b22a263ed002c8175a7ed4a05021155.r33.cf1.rackcdn.com/AnnualReport_2005/RCA_2005_AR_TR_Monitor_AppM6_GrasshopperSparrow.pdf	404	not found			Grasshopper Sparrow Survey Report 2005		2		1			00:00.280	utf-8
tel://(951) 736-2372/	404	not found			(951) 736-2372		2		2			00:00.000	utf-8
tel://(951) 955-1050/	404	not found			(951) 955-1050		2		2			00:00.000	utf-8
tel://(951) 922-3146/	404	not found			(951) 922-3146		2		1			00:00.000	utf-8
tel://(951) 769-8520/	404	not found			(951) 769-8520		2		1			00:00.000	utf-8
tel://(909) 795-9801/	404	not found			(909) 795-9801		2		1			00:00.000	utf-8
tel://(951) 244-2955/	404	not found			(951) 244-2955		2		1			00:00.000	utf-8
tel://(951) 361-0900/	404	not found			(951) 361-0900		2		1			00:00.000	utf-8
tel://(951) 765-2303/	404	not found			(951) 765-2303		2		1			00:00.000	utf-8
tel://(951) 332-6464/	404	not found			(951) 332-6464		2		1			00:00.000	utf-8
tel://(951) 674-3124/	404	not found			(951) 674-3124		2		2			00:00.000	utf-8
tel://(951) 757-4763/	404	not found			(951) 757-4763		2		1			00:00.000	utf-8
tel://(951) 413-3000/	404	not found			(951) 413-3000		2		1			00:00.000	utf-8
